Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Before and After,Betty White Sandy Beaches,4,22,5
Before and After,Beverly Hills & Top Cop,4,18,7
Before and After,Beyond Belief System,3,18,6
Before and After,Big Bear Lake Cabin,4,16,3
Before and After,Big Ben Affleck,3,13,3
Before and After,Big Ben Stiller,3,13,3
Before and After,Bill Thomas Cheetah,3,17,4
Before and After,Billy Crystal Ball,3,16,5
Before and After,Billy Crystal Candy Dish,4,21,5
Before and After,Billy Crystal Vase,3,16,5
Before and After,Billy The Kid Gloves,4,17,5
Before and After,Birthday Wish You Were Here,5,23,8
Before and After,Bite Mark Ruffalo,3,15,4
Before and After,Black Cape Cod,3,12,5
Before and After,Black Hole In One,4,14,5
Before and After,Black Hole-In-One,2,14,5
Before and After,Blair House Of Cards,4,17,5
Before and After,Blank Check Mark,3,14,5
Before and After,Blend In With The Wallpaper Hanger,6,29,5
Before and After,Blessed Event Planner,3,19,7
Before and After,Blood Pressure Points,3,19,5
Before and After,Blow Off A Little Steam Engine,6,25,4
Before and After,Blue Jay Leno,3,11,4
Before and After,Blue Spruce Up Your Everyday Style,6,29,4
Before and After,Blue-Plate Special Relativity,3,26,9
Before and After,Blushing Bride Of Frankenstein,4,27,8
Before and After,Board Game Changer,3,16,5
Before and After,Board Game Of Thrones,4,18,5
Before and After,Boarding Pass With Flying Colors,5,28,8
Before and After,Bob Denver Omelet,3,15,3
Before and After,Body And Soul Man,4,14,4
Before and After,Bone Dry Dock,3,11,4
Before and After,Bone-Dry Dock,2,11,7
Before and After,Boom Box Of Chocolates,4,19,4
Before and After,Bottled Water Polo,3,16,7
Before and After,Bow Tie Score,3,11,3
Before and After,Bowling Alley Cat,3,15,7
Before and After,Boxing & Mix And Match,4,17,6
Before and After,Boxing Match Point,3,16,6
Before and After,Boxing Ring-Around-A-Rosy,2,21,6
Before and After,Branch Library Of Congress,4,23,6
Before and After,Brass Button Your Lip,4,18,5
Before and After,Break Even Steven,3,15,5
Before and After,Break Even-Steven,2,15,5
Before and After,Break Your Old Routines,4,20,5
Before and After,Breaking Point Of No Return,5,23,8
Before and After,Brick House Of Cards,4,17,5
Before and After,Brick Red Square,3,14,5
Before and After,Brick Wall Art,3,12,5
Before and After,Bridal Party Like A Rock Star,6,24,6
Before and After,Bridge The Gap Band,4,16,6
Before and After,Brigham Young At Heart,4,19,7
Before and After,Bright Object Of My Affection,5,25,6
Before and After,Bright Sun Hat,3,12,6
Before and After,Bright Sun Kwon,3,13,6
Before and After,Bring Up The Rear Admiral,5,21,5
Before and After,Brisk Walk Don't Run,4,16,5
Before and After,Broadway Musical Chairs,3,21,8
Before and After,Broken Heart Of Glass,4,18,6
Before and After,Broken Heart Of Gold,4,17,6
Before and After,Brokerage Firm Grip,3,17,9
Before and After,Bruce Wayne Brady,3,15,5
Before and After,Bruno Mars Attacks!,3,16,5
Before and After,Buddy System Of A Down,5,18,5
Before and After,Buffalo Bill Of Rights,4,19,7
Before and After,Bugle Call Of The Wild,5,18,5
Before and After,Built On Solid Ground Beef,5,22,5
Before and After,Bull In A China Shop 'til You Drop,8,26,4
Before and After,Bulletin Board Game,3,17,8
Before and After,Bumpy Road Construction,3,21,5
Before and After,Bundle Of Joy To The World,6,21,6
Before and After,Bungee Jumping For Joy,4,19,6
Before and After,Bungee Jumping To Conclusions,4,26,6
Before and After,Burger King Of The Hill,5,19,6
Before and After,Burn Rubber Stamp,3,15,4
Before and After,Burrito Supreme Court,3,19,7
Before and After,Burrito Supreme Court Decision,4,27,7
Before and After,Burt Reynolds Wrap,3,16,4
Before and After,Bus Stop In The Name Of Love,7,22,3
Before and After,Business Suit In Amour,4,19,8
Before and After,Business Suit In Armor,4,19,8
Before and After,Business Suit Of Armor,4,19,8
Before and After,Butcher Block Party,3,17,7
Before and After,Butterfly Stroke Of Genius,4,23,9
Before and After,Buy One Get One Free Kick,6,20,3
Before and After,Buying A New House Of Cards,6,22,6
Before and After,By The Book Depository,4,19,2
Before and After,Cabin Pressure Cooker,3,19,5
Before and After,Cabin Pressure Gauge,3,18,5
Before and After,Cabin Pressure Point,3,18,5
Before and After,Cadbury Eggs Benedict,3,19,7
Before and After,Caesar Salad Dressing For Success,5,29,6
Before and After,Cafe Terrace At Night Of The Living Dead,8,33,4
Before and After,Cake Batter Up!,3,12,4
Before and After,California Gold Rush Hour,4,22,10
Before and After,California Here I Come And Get It,7,27,10
Before and After,California Here I Come And Get Me,7,27,10
Before and After,Call Me Back And Forth,5,18,4
Before and After,Call Waiting In Line,4,17,4
Before and After,Call Waiting To Exhale,4,19,4
Before and After,Calm Down The Hatch,4,16,4
Before and After,Camera Flash Cards,3,16,6
Before and After,Camera Flash Flood,3,16,6
Before and After,Campaign & Hiking Trail,3,19,8
Before and After,Campaign Event Of The Season,5,24,8
Before and After,Can You Keep A Secret Formula,6,24,3
Before and After,Candy Bar Of Soap,4,14,5
Before and After,Candy Cane Sugar,3,14,5
Before and After,Candy Corn On The Cob,5,17,5
Before and After,Canopy Bed Of Kelp,4,15,6
Before and After,Cape Cod Liver Oil,4,15,4
Before and After,Cape Porcupine,2,13,4
Before and After,Captain Cold Weather,3,18,7
Before and After,Captain Hook Line And Sinker,5,24,7
Before and After,Car Key To The City,5,15,3
Before and After,Caramel Apple Juice,3,17,7
Before and After,Cardboard Box Your Ears,4,20,9
Before and After,Cardiac Arrest Warrant,3,20,7
Before and After,Cargo Deck Of Cards,4,16,5
Before and After,Cargo Hold That Tiger,4,18,5
Before and After,Carnian Age Before Beauty,4,22,7
Before and After,Carrying A Heavy Pack Rat,5,21,8
Before and After,Cartoon Character Trait,3,21,7
Before and After,Cash Register To Vote,4,18,4
Before and After,Cash Register To Win,4,17,4
Before and After,Casper The Friendly Ghost Pepper,5,28,6
Before and After,Casting Call Me Sometime,4,21,7
Before and After,Casual Dress Shop,3,15,6
Before and After,Cat Food For Thought,4,17,3
Before and After,Cattle Drive Safely,3,17,6
Before and After,Caught Off-Guard Shack,3,19,6
Before and After,Cautionary Tale Of Two Cities,5,25,10
Before and After,Cbs Television City Council,4,24,3
Before and After,Ceiling Fan Club,3,14,7
Before and After,Celestial Bodies Of Water,4,22,9
Before and After,Celestial Body Of Work,4,19,9
Before and After,Celine Dion & The Belmonts,4,21,6
Before and After,Center Stage Door,3,15,6
Before and After,Certified Check This Out,4,21,9
Before and After,Chairman Of The Board Games,5,23,8
Before and After,Champagne Glass Menagerie,3,23,9
Before and After,Change Of Heart Emoji,4,18,6
Before and After,Change Your Mind Over Matter,5,24,6
Before and After,Channel Surfing Lesson,3,20,7
Before and After,Channing Tatum O'Neal,3,18,8
Before and After,Chariots Of Fire Hose,4,18,8
Before and After,Charleston Chew Toy,3,17,10
Before and After,Charlie Brown Paper Bag,4,20,7
Before and After,Charlotte Square Root,3,19,9
Before and After,Charlotte's Web Of Deceit,4,21,10
Before and After,Cheap Labor Of Love,4,16,5
Before and After,Cherry Pie In The Sky,5,17,6
Before and After,Cherry Red Square,3,15,6
Before and After,Cherry Soda Pop Of Color,5,20,6
Before and After,Chicago & Black Bears,3,17,7
Before and After,Chicken Fingers & Toes,3,18,7
Before and After,Chicken Little Dipper,3,19,7
Before and After,Chicken Scratch My Back,4,20,7
Before and After,Chicken Stock Exchange,3,20,7
Before and After,Chicken Stock Future,3,18,7
Before and After,Chicken Stock Futures,3,19,7
Before and After,Chill Out And Stay Out,5,18,5
Before and After,Chimney Stack Of Newspapers,4,24,7
Before and After,Chips & Dip In The Road,5,17,5
Before and After,Chocolate Bar Of Soap,4,18,9
Before and After,Chris Brown Sugar,3,15,5
Before and After,Chris Paul Mccartney,3,18,5
Before and After,Chris Rock Climbers,3,17,5
Before and After,Christmas Carol Burnett,3,21,9
Before and After,Christopher Columbus Ohio,3,23,11
Before and After,Christopher Robin Redbreast,3,25,11
Before and After,Cinco De Mayo Clinic,4,17,5
Before and After,Cinnamon Roll Call,3,16,8
Before and After,Circular Motion Picture,3,21,8
Before and After,Circus Clown Fish,3,15,6
Before and After,City Block And Tackle,4,18,4
Before and After,Class Act Accordingly,3,19,5
Before and After,Class Act Normal,3,14,5
Before and After,Class Clown Nose,3,14,5
Before and After,Clean As A Whistle Stop,5,19,5
Before and After,Clean As A Whistle While You Work,7,27,5
Before and After,Clean Bill Of Health Craze,5,22,5
Before and After,Clean Your Room Temperature,4,24,5
Before and After,Climate Change Your Mind,4,21,7
Before and After,Clint Black Stallion,3,18,5
Before and After,Clip Joint Chiefs Of Staff,5,22,4
Before and After,Closed Set Of Earrings,4,19,6
Before and After,Closet Space Invaders,3,19,6
Before and After,Closet Space Travel,3,17,6
Before and After,Closing Time And Time Again,5,23,7
Before and After,Closing Time Of Your Life,5,21,7
Before and After,Clove Of Garlic Bread,4,18,5
Before and After,Clove Of Garlic Breath,4,19,5
Before and After,Coat Of Arms & Legs,4,14,4
Before and After,Coat Of Arms And Legs,5,17,4
Before and After,Coaxial Cable Stitch,3,18,7
Before and After,Coconut Water Fountain,3,20,7
Before and After,Coffee Bean Sprouts,3,17,6
Before and After,Coffee Break A Leg,4,15,6
Before and After,Coffee Grounds For Suspicion,4,25,6
Before and After,Coffee Press Credentials,3,22,6
Before and After,Coffee Press Release,3,18,6
Before and After,Coffee Table Tennis,3,17,6
Before and After,Coffee-Table Book Club,3,19,11
Before and After,Cold As Ice Bucket,4,15,4
Before and After,Color Blind Date,3,14,5
Before and After,Color Wheel Of Fortune,4,19,5
Before and After,Colors That Pop Quiz,4,17,6
Before and After,Comedy Film Industry,3,18,6
Before and After,Comedy Routine Maintenance,3,24,6
Before and After,Comedy Team Player,3,16,6
Before and After,Comic Strip Of Bacon,4,17,5
Before and After,Commencement Address Unknown,3,26,12
Before and After,Common Knowledge Is Power,4,22,6
Before and After,Common Sense Of Danger,4,19,6
Before and After,Common Sense Of Smell,4,18,6
Before and After,Completely Miss The Mark Buffalo,5,28,10
Before and After,Computer Mouse Trap,3,17,8
Before and After,Concert Hall Of Justice,4,20,7
Before and After,Concert Hall Of Records,4,20,7
Before and After,Concession Stand By Me,4,19,10
Before and After,Conference Call Forward,3,21,10
Before and After,Confirmation Letter Opener,3,24,12
Before and After,Conga Line Of Fire,4,15,5
Before and After,Congressional Hearing Aid,3,23,13
Before and After,Constitutional Law & Order,3,22,14
Before and After,Continental Breakfast Burrito,3,27,11
Before and After,Conveyor Belt Buckle,3,18,8
Before and After,Cooking Pot Of Gold,4,16,7
Before and After,Cool Hand Luke Evans,4,17,4
Before and After,Corned Beef Hash It Out,5,19,6
Before and After,Corner Pocket Protector,3,21,6
Before and After,Corporate Tax Rate Of Return,5,24,9
Before and After,Correct Answer The Question Please,5,30,7
Before and After,Cosmic Dust Bunnies,3,17,6
Before and After,Couch Potato Chips,3,16,5
Before and After,Couch Potato Pancake,3,18,5
Before and After,Couch Potato Peeler,3,17,5
Before and After,Couch Potato Salad,3,16,5
Before and After,County And Child's Car Seat,5,22,6
Before and After,Cover Charge By The Hour,5,20,5
Before and After,Cowboy Boot Camp,3,14,6
Before and After,Crawl Space Station,3,17,5
Before and After,Cream Of The Crop-Duster,4,20,5
Before and After,Creamed Corn Tortillas,3,20,7
Before and After,Cream-Filled Center Of The Universe,5,30,11
Before and After,Crime Doesn't Pay With Cash Or Credit Card,8,34,5
Before and After,Criminal Law Of Averages,4,21,8
Before and After,Critical Mass Audience,3,20,8
Before and After,Crocodile Rock The Boat,4,20,9
Before and After,Cry Foul Ball,3,11,3
Before and After,Cup Of Java Sparrow,4,16,3
Before and After,Curiosity Killed The Cat Burglar,5,28,9
Before and After,Curiosity Killed The Cat On A Hot Tin Roof,9,34,9
Before and After,Curling Iron Man,3,14,7
Before and After,Currency Exchange Phone Numbers,4,28,8
Before and After,Curtain Call Me We'll Do Lunch,6,24,7
Before and After,Curtain Call Of The Wild,5,20,7
Before and After,Curtain Call Your Mother,4,21,7
Before and After,Custer's Last Stand By Me,5,20,7
Before and After,Custer's Last Stand By Your Man,6,25,7
Before and After,Customer Service Charge,3,21,8
Before and After,Cutting Back To The Basics,5,22,7
Before and After,Daffy Duck Duck Goose,4,18,5
Before and After,Daffy Duck Pond,3,13,5
Before and After,Dairy Queen Victoria,3,18,5
Before and After,Dancing Queen Latifah,3,19,7
Before and After,Dancing Queen Of England,4,21,7
Before and After,Date Of Birth Keepsakes,4,20,4
Before and After,David Letterman Sweater,3,21,5
Before and After,David Price Tag,3,13,5
Before and After,Dead Wrong Way,3,12,4
Before and After,Deal Of A Lifetime Warranty,5,23,4
Before and After,Death Valley Girl,3,15,5
Before and After,Debbie Reynolds Wrap,3,18,6
Before and After,Deck The Halls Of Justice,5,21,4
Before and After,Deep Space Heater,3,15,4
Before and After,Defensive & Scratch My Back,4,22,9
Before and After,Defensive End Of The Line,5,21,9
Before and After,Defensive Team Effort,3,19,9
Before and After,Demanding Job Offer,3,17,9
Before and After,Den Mother Nature,3,15,3
Before and After,Denzel Washington Monument,3,24,6
Before and After,Deodorant Stick-In-The Mud,3,22,9
Before and After,Deodorant Stick-In-The-Mud,2,22,9
Before and After,Department Head Of Cattle,4,22,10
Before and After,Department Heads Of State,4,22,10
Before and After,Department Of The Interior Decorator,5,32,10
Before and After,Deposit Slip And Fall,4,18,7
Before and After,Deposit Slip Of The Tongue,5,22,7
Before and After,Deveined Shrimp Cocktail,3,22,8
Before and After,Dialog Box Seats,3,14,6
Before and After,Diamond In The Rough Draft,5,22,7
Before and After,Diamond Ring Around The Collar,5,26,7
Before and After,Diana Ross Gellar,3,15,5
Before and After,Diana Ross Geller,3,15,5
Before and After,Diaper Bag Of Tricks,4,17,6
Before and After,Different As Night And Day Shift,6,27,9
Before and After,Dinner For Five O'Clock,4,19,6
Before and After,Dinner Table Of Contents,4,21,6
Before and After,Dinner Table Saw,3,14,6
Before and After,Dirt Poor Excuse,3,14,4
Before and After,Dirt Road Map,3,11,4
Before and After,Dirt-Poor Excuse,2,14,8
Before and After,Dirty Harry Potter,3,16,5
Before and After,Disc Jockey Shorts,3,16,4
Before and After,District Of Columbia University,4,28,8
Before and After,Divine Providence Rhode Island,4,27,6
Before and After,Diving Bell Curve,3,15,6
Before and After,Diving Bell Pepper,3,16,6
Before and After,Diving Bell Tower,3,15,6
Before and After,Division Sign Language,3,20,8
Before and After,Do The Funky Chicken Noodle Soup,6,27,2
Before and After,Doctor Strange Story,3,18,6
Before and After,Dog Days Of Thunder,4,16,3
Before and After,Dog Pound Cake,3,12,3
Before and After,Doggie Bag Of Tricks,4,17,6
Before and After,Dogwood Tree Of Life,4,17,7
Before and After,Dollar Bill Gates,3,15,6
Before and After,Don't Assume Anything Goes,4,22,4
Before and After,Don't Cry Over Spilled Milk Toast,6,27,4
Before and After,Don't Cry Over Spilt Milk Carton,6,26,4
Before and After,Don't Get Mad Money,4,15,4
Before and After,Don't Give Up Your Day Job Search,7,26,4
Before and After,Don't Go To Bed Angry Birds,6,21,4
Before and After,Don't Judge A Book By Its Cover Charge,8,30,4
Before and After,Don't Make Be Nervous Energy,5,23,4
Before and After,Don't Make Me Nervous Energy,5,23,4
Before and After,Don't Press Your Luck Of The Draw,7,26,4
Before and After,Donald Duck Duck Goose,4,19,6
Before and After,Donald Duck For Cover,4,18,6
Before and After,Donald Duck Pond,3,14,6
Before and After,Don't Touch That Dial The Wrong Number,7,31,4
Before and After,Doris Day School,3,14,5
Before and After,Down But Not Out To Lunch,6,20,4
Before and After,Down For The Count Dracula,5,22,4
Before and After,Down On My Luck Of The Draw,7,21,4
Before and After,Down Under The Weather,4,19,4
Before and After,Down-And-Out Of My League,4,20,10
Before and After,Down-Home Folk Dancers,3,19,8
Before and After,Downward Spiral Pasta,3,19,8
Before and After,Draft Board Of Education,4,21,5
Before and After,Drama Queen Of Hearts,4,18,5
Before and After,Drawing Barrel Of Fun,4,18,7
Before and After,Dream Job Interview,3,17,5
Before and After,Driving Test Kitchen,3,18,7
Before and After,Drop Kick Up Your Heels,5,19,4
Before and After,Dry Sherry Darling,3,16,3
Before and After,Dude Ranch Dressing,3,17,4
Before and After,Dunk Shot In The Dark,5,17,4
Before and After,Dutch Treat Yourself,3,18,5
Before and After,Early Snow Goose,3,14,5
Before and After,Early Snow Shovel,3,15,5
Before and After,Earth Mother Goose,3,16,5
Before and After,Easter Egg Noodles,3,16,6
Before and After,Eat My Words Of Wisdom,5,18,3
Before and After,Eating A Candy Heart Of Darkness,6,27,6
Before and After,Economy Class Syllabus,3,20,7
Before and After,Eddie Murphy Brown,3,16,5
Before and After,Editorial Staff Nurse,3,19,9
Before and After,Edward Norton Antivirus,3,21,6
Before and After,Edward Norton Endeavors,3,21,6
Before and After,Egg On Your Face Value,5,18,3
Before and After,Eggs Benedict Cumberbatch,3,23,4
Before and After,Eggs Over Easy As Pie,5,17,4
Before and After,Eggs Over Easy Chair,4,17,4
Before and After,Elected Official Ballot,3,21,7
Before and After,Election Day Of Reckoning,4,22,8
Before and After,Electric Blanket Of Snow,4,21,8
Before and After,Electric Blanket Statement,3,24,8
Before and After,Electric Shock Jock,3,17,8
Before and After,Electrical Outlet Mall,3,20,10
Before and After,Electronic Dance Music,3,20,10
Before and After,Elephant Seal Of Approval,4,22,8
Before and After,Elvis Has Left The Building Manager,6,30,5
Before and After,Emergency Kit Carson,3,18,9
Before and After,Emergency Room For Improvement,4,27,9
Before and After,Emergency Room To Breathe,4,22,9
Before and After,Emotional Plea Bargain,3,20,9
Before and After,Emotionally Charged Battery,3,25,11
Before and After,Enchanted Forest Ranger,3,21,9
Before and After,Encouraging Words Are Just Words,5,28,11
Before and After,Energy Bar Of Soap,4,15,6
Before and After,Engagement Ring-Around-The-Rosy,2,27,10
Before and After,English Language Barrier,3,22,7
Before and After,Enough Is Enough Said,4,18,6
Before and After,Eric Church Wedding,3,17,4
Before and After,European Union Card,3,17,8
Before and After,Eventful Day In The Life,5,20,8
Before and After,Every Tom Dick & Harry Potter,5,23,5
Before and After,Exchange Student Driver,3,21,8
Before and After,Exclamation Point Me In The Right Direction,7,37,11
Before and After,Exclamation Point Of View,4,22,11
Before and After,Exclusive Look Over There,4,22,9
Before and After,Extended Family Dinner,3,20,8
Before and After,Extended Family Vacation,3,22,8
Before and After,Extended Stay As Long As You Like,7,27,8
Before and After,Extra Credit Score,3,16,5
Before and After,Eye Candy Bar,3,11,3
Before and After,Eye Contact Sport,3,15,3
Before and After,Eye Of The Needle In A Haystack,7,25,3
Before and After,Face The Facts Of Life,5,18,4
Before and After,Face The Music Video,4,17,4
Before and After,Facebook Post Office,3,18,8
Before and After,Faculty Meeting Of The Minds,5,24,7
Before and After,Fair And Square Root,4,17,4
Before and After,Fairy Dust Bunnies,3,16,5
Before and After,Fall Flat Tire,3,12,4
Before and After,Falling In Love Always,4,19,7
Before and After,False Alarm Clock,3,15,5
Before and After,False Sense Of Security Measures,5,28,5
Before and After,Fame & Fortune Cookie,3,17,4
Before and After,Family Circle Of Friends,4,21,6
Before and After,Family Circle Of Life,4,18,6
Before and After,Family Dinner Plate,3,17,6
Before and After,Family Entertainment Tonight,3,26,6
Before and After,Family Guy Pearce,3,15,6
Before and After,Family Honor Guard,3,16,6
Before and After,Family Pet Carrier,3,16,6
Before and After,Family Tree Doctor,3,16,6
Before and After,Fanny Pack Rat,3,12,5
Before and After,Far & Wide Receiver,3,15,3
Before and After,Fashion Police Escort,3,19,7
Before and After,Fashion Police Precinct,3,21,7
Before and After,Fast Times At Ridgemont High-School Crush,6,35,4
Before and After,Father Figure Eight,3,17,6
Before and After,Father Knows Best In Show,5,21,6
Before and After,Father Of The Bride Of Frankenstein,6,30,6
Before and After,Fats Domino Effect,3,16,4
Before and After,Favorite Son Of A Gun,5,17,8
